"StimHeight","SeparationDistance"
"High",10.2
"High",5.3
"High",10.4
"High",4.8
"High",10.5
"High",9.7
"High",11
"High",8
"High",5.9
"High",17.1
"High",12.2
"High",7.8
"High",8
"High",8.8
"High",14.1
"High",9.1
"High",10.7
"High",6.2
"High",6.4
"Low",12.6
"Low",5.3
"Low",5.8
"Low",6.3
"Low",12
"Low",7.1
"Low",8.4
"Low",8.5
"Low",7.4
"Low",9.7
"Low",10.6
"Low",20
"Low",7.8
"Low",6.9
"Low",9.9
"Low",2.2
"Low",11.5
"Low",8.3
"Low",9.9
"Low",7.1
"Low",5.5
"Low",8.1
"Low",6
"Low",11.4
"Low",9.8
"Low",8.8
"Low",5.2
"Low",10.2
"Low",17
"Low",9.1
"Low",10.1
"High",4.4
"High",4.5
"High",8.2
"High",1.6
"High",16.4
"High",16.9
"High",4.9
"High",7.3
"High",8.2
"High",7.3
"High",3.8
"High",4
"High",12
"High",14.8
"High",14.4
"High",8.1
"High",6.7
"High",13.8
"High",3.4
"High",3.8
"High",9.1
"High",8.7
"High",7.8
"High",3.6
"High",9.7
"High",7.6
"High",7.7
"High",6.3
"High",4.5
"High",4.7
"High",5.8
"High",2.7
"High",14.3
"Low",6.7
"Low",1.9
"Low",12.3
"Low",6.5
"Low",14.2
"Low",5.7
"Low",6.8
"Low",5.1
"Low",11.2
"Low",9.7
"Low",7.1
"Low",10.4
"Low",5.3
"Low",7.2
"Low",9.7
"Low",11.4
"Low",10.7
"Low",10.5
"Low",15
"Low",16.5
"Low",14.4
"Low",13.8
"Low",7.2
"Low",13.3
"Low",6.7
"Low",7.2
"Low",7.6
"Low",8.8
"Low",8.1
"Low",8.4
"Low",6.2
"Low",5.7
"Low",17.3
"Low",16.1
"Low",19.2
"Low",17.4
"Low",16.5
"Low",11
"Low",17
"Low",14.9
"Low",10.6
"Low",18.9
"Low",10.3
"Low",13.2
"Low",11.6
"Low",16.1
"Low",17.7
"Low",11.6
"Low",18.2
"Low",15.8
"Low",8
"Low",10.6
"Low",15
"Low",11.5
"Low",10.5
"Low",9.9
"Low",12.6
"Low",11.3
"Low",6.9
"Low",17.9
"Low",14.7
"Low",13.5
"Low",8.4
"Low",10.2
"Low",12.2
"Low",11.1
"Low",11.6
"Low",13.7
"Low",11.4
"Low",4.9
"Low",11.1
"Low",8.5
"Low",7.8
"Low",10
"Low",10.7
"High",17.8
"High",4.8
"High",5.7
"High",24.2
"High",8.9
"High",8.3
"High",6.1
"High",7.5
"High",12.3
"High",12.1
"High",13.5
"High",9.5
"High",6.4
"High",10.8
"High",12.6
"High",10.6
"High",19.3
"High",12.9
"High",9.7
"High",5.4
"High",2.6
"High",6.8
"High",7
"Low",1.7
"Low",1
"Low",3.6
"Low",6
"Low",3.8
"Low",7.1
"Low",8.3
"Low",9
"Low",10.7
"Low",6.9
"Low",5.8
"Low",10.6
"Low",14.1
"High",8.8
"High",8.8
"High",5.9
"High",11.6
"High",10
"High",4.8
"High",8
"Low",12.8
"High",10.9
"High",9.8
"High",9.7
"High",11.6
"High",15
"High",13.9
"High",9.3
"High",7.1
"High",5.9
"High",9.2
"High",11
